>OSTLU_14894
3.A.1.205.11 - Evalue: 5.14353E-43	[TI3000980, TI3001052, TI3000983]
2.A.66.1.8 - Evalue: 1.83606E-17	[TI2104147, TI2104028, TI2103296, TI2103974, TI2104144, TI2103973, TI2103972, TI2101310, TI2111358, TI2109155, TI2104020, TI2104263, TI2104142, TI2109154, TI2103173, TI2103292, TI2109391, TI2111362, TI2111363, TI2104815, TI2104817, TI2104818, TI2101303, TI2104257, TI2107527, TI2105107, TI2104255, TI2109148, TI2111367, TI2109147, TI2111368, TI2108850, TI2113429, TI2109143, TI2120083, TI2109141, TI2119896, TI2119897, TI2119898, TI2101896, TI2119893, TI2100687, TI2108849, TI2102869, TI2100328, TI2108845, TI2104246, TI2100680, TI2104247, TI2101096, TI2103032, TI2108841, TI2109139, TI2108840, TI2109137, TI2109379, TI2109138, TI2104245, TI2120099, TI2109136, TI2120097, TI2111930, TI2109133, TI2109134, TI2120098, TI2108046, TI2109131, TI2109132, TI2108042, TI2117489, TI2117488, TI2117487, TI2117486, TI2103029, TI2117485, TI2117484, TI2100679, TI2100317, TI2101085, TI2108835, TI2100674, TI2104233, TI2117805, TI2109124, TI2117804, TI2117803, TI2108157, TI2109122, TI2104230, TI2109123, TI2117809, TI2117808, TI2111944, TI2117807, TI2111945, TI2117928, TI2117806, TI2101995, TI2108826, TI2108823, TI2101198, TI2104227, TI2104220, TI2104344, TI2111951, TI2112368, TI2104461, TI2119206, TI2117940, TI2114556, TI2117700, TI2119562, TI2108816, TI2104210, TI2109465, TI2117706, TI2117705, TI2117709, TI2117708, TI2108131, TI2117707, TI2111297, TI2117710, TI2108809, TI2108807, TI2111170, TI2108806, TI2104563, TI2104201, TI2117958, TI2111974, TI2105095, TI2119900, TI2119901, TI2119902, TI2106977, TI2105082, TI2112286, TI2100621, TI2104426, TI2101151, TI2101036, TI2101271, TI2120107, TI2117984, TI2120108, TI2120106, TI2117988, TI2117987, TI2113387, TI2117986, TI2117985, TI2100615, TI2105627, TI2101388, TI2101025, TI2109300, TI2104095, TI2111402, TI2117989, TI2104091, TI2104092, TI2111405, TI2104090, TI2116547, TI2101132, TI2101256, TI2104088, TI2104089, TI2104882, TI2101375, TI2101012, TI2101255, TI2104084, TI2105052, TI2104087, TI2108563, TI2104082, TI2108560, TI2119943, TI2119941, TI2119942, TI2104878, TI2124849, TI2108796, TI2104199, TI2109765, TI2108793, TI2104194, TI2108792, TI2108795, TI2111668, TI2104070, TI2108791, TI2108790, TI2117537, TI2108789, TI2100384, TI2101350, TI2108786, TI2108785, TI2104067, TI2108788, TI2104189, TI2105036, TI2108787, TI2104183, TI2108782, TI2108784, TI2108783, TI2104065, TI2108780, TI2111319, TI2111321, TI2111322, TI2101104, TI2104056, TI2104298, TI2101343, TI2111323, TI2104173, TI2111324, TI2109188, TI2111325, TI2108894, TI2109189, TI2111326, TI2108893, TI2111328, TI2109184, TI2109182, TI2109183, TI2109180, TI2109181, TI2111330, TI2119973, TI2119974, TI2101337, TI2101214, TI2108764, TI2108884, TI2104960, TI2101332, TI2103872, TI2108881, TI2109179, TI2109177, TI2109178, TI2108085, TI2109175, TI2112548, TI2112427, TI2109176, TI2109173, TI2109174, TI2109171, TI2104037, TI2103981, TI2103980, TI2104038, TI2104034, TI2101320, TI2101684, TI2108078, TI2109169, TI2109166, TI2121154, TI2121030, TI2121031, TI2102094, TI2109284, TI2112560, TI2111352, TI2103978, TI2104826, TI2101316, TI2103977, TI2103976, TI2101313, TI2103975, TI2103979]
2.A.66.1.6 - Evalue: 4.85933E-17	[TI2104088, TI2124834, TI2103173]

>OSTLU_27845
3.A.16.1.4 - Evalue: 4.49137E-106	[TI0023943, TI0023944, TI0000740]
3.A.16.1.5 - Evalue: 1.74061E-59	[TI0023943, TI0023944, TI0000740]

>OSTLU_39838
3.A.10.1.4 - Evalue: 1.44325E-147	[TO9900002, TO9900001]
3.A.10.2.3 - Evalue: 1.43275E-126	[TO9900002, TO9900001]
3.A.10.3.2 - Evalue: 1.31131E-48	[TO9900002, TO9900001]
3.A.10.1.5 - Evalue: 1.4008E-180	[TO9900002, TO9900001]
3.A.10.2.4 - Evalue: 2.44901E-152	[TO9900002, TO9900001]
3.A.10.3.3 - Evalue: 7.54389E-52	[TO9900002, TO9900001]
3.A.10.1.6 - Evalue: 2.7484E-178	[TO9900002, TO9900001]
3.A.10.3.4 - Evalue: 5.35523E-44	[TO9900002, TO9900001]
3.A.10.1.7 - Evalue: 3.38805E-176	[TO9900002, TO9900001]
3.A.10.3.5 - Evalue: 1.0115E-43	[TO9900002, TO9900001]
3.A.10.1.8 - Evalue: 0.0	[TO9900002, TO9900001]
3.A.10.1.9 - Evalue: 0.0	[TO9900002, TO9900001]
3.A.10.1.1 - Evalue: 0.0	[TO9900002, TO9900001, TI9900050]
3.A.10.1.2 - Evalue: 0.0	[TO9900002, TO9900001]
3.A.10.2.1 - Evalue: 7.0512E-138	[TO9900002, TO9900001]
3.A.10.1.3 - Evalue: 1.2783E-178	[TO9900002, TO9900001]
3.A.10.3.1 - Evalue: 2.61493E-120	[TO9900002, TO9900001]
3.A.10.2.2 - Evalue: 1.43537E-115	[TO9900002, TO9900001]
3.A.10.1.10 - Evalue: 5.65364E-152	[TO9900002, TO9900001]
3.A.10.1.12 - Evalue: 4.24873E-138	[TO9900002, TO9900001]
3.A.10.1.11 - Evalue: 3.28977E-142	[TO9900002, TO9900001]
3.A.10.1.14 - Evalue: 2.75443E-175	[TO9900002, TO9900001]
3.A.10.1.13 - Evalue: 1.61623E-153	[TO9900002, TO9900001]
3.A.10.1.16 - Evalue: 0.0	[TO9900002, TO9900001]
3.A.10.1.15 - Evalue: 1.35708E-135	[TO9900002, TO9900001]
3.A.10.1.17 - Evalue: 0.0	[TO9900002, TO9900001]

>OSTLU_14537
2.A.7.9.6 - Evalue: 6.87857E-98	[TR2000079, TR2000863, TR2002081]
2.A.7.9.1 - Evalue: 3.36448E-75	[TR2000061, TR2000482, TR2000102]
2.A.7.9.22 - Evalue: 7.55688E-126	[TR2000198]
2.A.7.9.2 - Evalue: 1.48097E-66	[TR2000863, TR2000079, TR2000089, TR2002081]
2.A.7.9.3 - Evalue: 4.48356E-76	[TR2000061, TR2000102]
2.A.7.9.23 - Evalue: 1.81128E-74	[TR2000061, TR2000482, TR2000102]
2.A.7.9.24 - Evalue: 4.27044E-29	[TR2000061]

>OSTLU_7508
1.A.25.3.1 - Evalue: 2.32853E-9	[TO0017155, TO0000239, TR0011574, TR0000081, TR0003396, TO0000075, TO0000150, TR0000001, TR0000242, TO0003396, TR0000048, TR0000966, TR0000009, TR0017155, TO0011574, TO0001414, TR0001414, TR0000209, TO0000966, TR0011684, TO0000268, TR0000150, TR0001281, TO0004099, TO0003166, TR0000075, TR0008438, TR0003387, TO0009225, TR0001048, TR0000552, TO0000532, TR0000239, TO0001622, TO0000534, TO0000012, TO0000099, TR0000268, TR0000421, TO0000421, TO0000209, TO0000009, TO0000048, TR0009225, TO0000001, TO0000242, TR0004099, TO0001281, TR0000012, TR0000099, TO0000081, TR0001622, TR0003166, TO0008438, TO0003387, TR0000532, TO0000552, TO0001048, TO0011684, TR0000534]

>OSTLU_6417
2.A.94.1.3 - Evalue: 1.66235E-24	[TO0000009]
2.A.94.1.5 - Evalue: 1.88028E-8	[TO0000009]
2.A.94.1.2 - Evalue: 7.70396E-20	[TO0000009]
2.A.94.1.1 - Evalue: 3.95705E-12	[TO0000009]

>OSTLU_119494
3.A.2.2.3 - Evalue: 2.9156E-71	[TX3000000, TR3000005, TR3000006]
3.A.2.2.6 - Evalue: 1.67208E-84	[TR3000005, TR3000006]
3.A.2.2.7 - Evalue: 1.39881E-86	[TR3000005, TR3000006]
3.A.2.2.4 - Evalue: 1.85177E-89	[TX3000000, TR3000005, TR3000006]

>OSTLU_49993
3.A.1.113.1 - Evalue: 2.22882E-16	[TI3002055]
3.A.1.117.3 - Evalue: 1.13198E-55	[TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.117.1 - Evalue: 3.41861E-56	[TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.119.4 - Evalue: 8.0847E-14	[TO3001829, TI3001404]
3.A.1.208.28 - Evalue: 1.25911E-24	[TO3000759, TI3000031]
3.A.1.208.22 - Evalue: 2.51259E-22	[TI3000827, TI3000826, TI3000947, TI3000946, TI3000825, TI3000824, TI3000945, TI3000829, TI3000949, TI3000828, TI3000940, TI3000147, TI3000944, TI3000822, TI3000943, TI3000821, TI3000942, TI3000820, TI3000941, TI3001000, TI3001001, TI3001002, TI3000816, TI3000936, TI3000935, TI3000814, TI3000813, TI3000934, TI3000939, TI3000818, TI3000938, TI3000817, TI3000258, TI3000812, TI3000933, TI3000932, TI3000931, TI3000930, TI3000144, TI3000262, TI3000728, TI3000848, TI3000969, TI3000726, TI3000847, TI3000968, TI3000967, TI3000846, TI3000725, TI3000729, TI3000962, TI3000720, TI3001018, TI3000961, TI3000840, TI3001019, TI3000960, TI3000845, TI3000724, TI3000723, TI3000965, TI3001015, TI3000844, TI3001016, TI3000964, TI3000843, TI3000963, TI3000721, TI3001021, TI3001022, TI3001023, TI3000177, TI3001020, TI3000838, TI3000717, TI3000837, TI3000958, TI3000715, TI3000957, TI3000836, TI3000956, TI3000835, TI3000714, TI3000719, TI3000718, TI3000839, TI3001007, TI3000951, TI3000950, TI3001008, TI3001009, TI3001003, TI3000955, TI3000713, TI3000834, TI3001004, TI3000833, TI3000712, TI3000954, TI3000953, TI3001005, TI3000711, TI3000832, TI3001006, TI3000710, TI3000952, TI3001011, TI3001013, TI3000749, TI3000748, TI3000869, TI3000989, TI3000863, TI3000984, TI3000862, TI3000983, TI3000741, TI3000861, TI3000982, TI3000740, TI3000860, TI3000746, TI3000988, TI3001037, TI3000866, TI3000987, TI3000745, TI3000865, TI3000986, TI3001039, TI3000985, TI3001043, TI3001044, TI3001045, TI3001046, TI3000870, TI3000991, TI3001040, TI3000990, TI3001041, TI3001042, TI3000739, TI3000859, TI3000738, TI3000858, TI3000857, TI3000731, TI3000852, TI3000973, TI3000730, TI3000851, TI3000971, TI3000850, TI3000299, TI3000970, TI3000977, TI3000856, TI3001025, TI3000735, TI3000855, TI3000734, TI3001026, TI3000976, TI3000975, TI3000974, TI3001028, TI3000853, TI3001034, TI3001035, TI3000980, TI3001030, TI3001031, TI3000769, TI3000764, TI3000885, TI3000884, TI3000883, TI3000882, TI3000761, TI3000768, TI3000888, TI3000766, TI3000887, TI3000886, TI3000765, TI3000771, TI3000770, TI3000891, TI3000890, TI3000759, TI3000758, TI3000879, TI3000995, TI3000874, TI3000752, TI3000994, TI3000873, TI3000993, TI3000872, TI3000751, TI3000750, TI3000871, TI3000999, TI3000757, TI3000878, TI3001047, TI3000877, TI3001048, TI3000756, TI3000998, TI3001049, TI3000755, TI3000997, TI3000875, TI3000754, TI3000996, TI3000881, TI3001050, TI3001051, TI3000880, TI3000785, TI3000300, TI3000784, TI3000783, TI3000788, TI3000793, TI3000792, TI3000790, TI3000775, TI3000896, TI3000774, TI3000894, TI3000773, TI3000772, TI3000779, TI3000778, TI3000777, TI3000898, TI3000776, TI3000782, TI3000781, TI3000780, TI3000206, TI3000693, TI3000797, TI3000796, TI3000795, TI3000798, TI3000904, TI3000903, TI3000902, TI3000908, TI3000907, TI3000906, TI3000905, TI3000348, TI3000909, TI3000926, TI3000925, TI3000804, TI3000803, TI3000924, TI3000923, TI3000809, TI3000808, TI3000807, TI3000928, TI3000806, TI3000927, TI3000801, TI3000922, TI3000800, TI3000921, TI3000920, TI3000248, TI3000914, TI3000913, TI3000912, TI3000919, TI3000918, TI3000917, TI3000236, TI3000911, TI3000118, TI3000910]
3.A.1.201.25 - Evalue: 1.29261E-71	[TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.201.24 - Evalue: 1.99627E-66	[TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.201.23 - Evalue: 6.287E-69	[TI3001535]
3.A.1.201.22 - Evalue: 5.36282E-85	[TI3000147]
3.A.1.201.26 - Evalue: 3.17856E-56	[TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.208.9 - Evalue: 2.79169E-27	[TI3001539, TI3001218, TI3001179, TI3001212, TI3000569, TI3001241, TI3001088, TI3001341, TI3001166, TI3001540, TI3001222, TI3001260, TI3001262, TI3000691, TI3001180, TI3001205, TI3001229, TI3001300, TI3001302, TI3001248, TI3001054, TI3001330, TI3001099, TI3001057, TI3001271, TI3001195, TI3001074, TI3001097, TI3001350, TI3001191]
3.A.1.208.8 - Evalue: 4.30384E-27	[TI3001649, TI3001645, TI3001667, TI3001646, TI3001647, TI3001648, TI3000569, TI3001643, TI3001665, TI3000006, TI3001666, TI3001644, TI3000298, TI3000694, TI3000296, TI3000295, TI3000691]
3.A.1.208.7 - Evalue: 1.27118E-22	[TO3000593, TO3000431, TO3000550, TO3000595, TO3000633, TO3000512, TO3000675, TO3000554, TO3000511, TI3001241, TI3001088, TO3000429, TI3001166, TO3000908, TO3000581, TI3000533, TO3000420, TO3000388, TI3001229, TI3000497, TI3001300, TO3000865, TO3000664, TO3001996, TI3001302, TO3001159, TO3000544, TO3000415, TO3000537, TI3001271, TI3001074, TI3001195, TI3001350, TI3001191, TI3000607, TO3000574, TO3000498, TI3001218, TI3001212, TI3001179, TI3000569, TO3000851, TO3000527, TO3000604, TI3001341, TO3000889, TI3001222, TI3001541, TO3000405, TI3001260, TO3000925, TI3000691, TI3001262, TI3001180, TI3000511, TI3000555, TI3001205, TO3000684, TO3000561, TI3000552, TO3000523, TO3000964, TI3001248, TI3001054, TI3001099, TI3001330, TO3000635, TO3000911, TI3001057, TI3001097]
3.A.1.208.5 - Evalue: 4.12948E-32	[TO3000780, TO3000783, TI3000115, TI3000114, TO3000784, TO3000781, TI3000113, TO3000782, TI3000112, TO3000787, TI3000117, TY3000002, TO3000785, TI3000116, TO3000786, TO3000758, TI3001660, TY3000001, TO3002109, TI3000111, TI3000110, TI3000296]
3.A.1.106.1 - Evalue: 6.59804E-62	[TI3000109, TI3000288, TI3000101, TI3000068, TI3000107, TI3000294, TI3000272, TI3000293, TI3000073, TI3000094, TI3000270, TI3000071, TI3000111, TI3000275, TI3000110, TI3000076, TI3000274, TI3000091, TI3000115, TI3000114, TI3000279, TI3000113, TI3000278, TI3000277, TI3000112, TI3000117, TI3000116, TI3000283, TI3000282, TI3000083, TI3000082, TI3000280, TI3000287, TI3000286]
3.A.1.129.1 - Evalue: 1.64641E-36	[TI3000296, TI3001657]
3.A.1.208.3 - Evalue: 4.59806E-26	[TI3000813, TO3002265, TO3001583, TO3001471, TI3000949, TO3001674, TI3001009, TI3000982, TO3002267, TO3001595, TO3001430, TO3002266, TO3001646, TI3001366, TO3001503, TI3000845, TI3000932, TO3001612, TI3000920, TI3002176, TI3002177, TI3000771]
3.A.1.106.3 - Evalue: 6.70508E-45	[TI3001035]
3.A.1.208.2 - Evalue: 1.41362E-24	[TI3001054, TI3001271, TI3000296, TI3000691, TI3001654]
3.A.1.106.2 - Evalue: 6.29426E-61	[TI3001364, TI3001365, TI3000147, TI3001366]
3.A.1.208.1 - Evalue: 2.12086E-18	[TI3000607, TI3000555, TI3000511, TI3000115, TI3000533, TI3000114, TI3000113, TI3000552, TI3000497, TI3000112, TI3000569, TI3001554, TI3000117, TI3000116, TI3000694, TI3000111, TI3000110, TI3000296, TI3000691]
3.A.1.106.5 - Evalue: 1.17366E-43	[TI3000813, TI3000771, TI3000949, TI3000148, TI3001403, TI3000982, TI3001009, TI3000845, TI3000932, TI3000920]
3.A.1.106.7 - Evalue: 1.60976E-39	[TI3000687]
3.A.1.208.15 - Evalue: 1.5635E-27	[TI3000694, TI3000691, TI3001535, TI3001536, TI3001537, TI3001538]
3.A.1.106.6 - Evalue: 2.42514E-43	[TI3000813, TI3000771, TI3000949, TI3001009, TI3000982, TI3000845, TI3000943, TI3000866, TI3000932, TI3000920, TI3000975, TI3000952]
3.A.1.208.12 - Evalue: 1.3557E-32	[TO3000593, TO3000431, TO3000550, TO3000595, TO3000512, TO3000633, TO3000675, TO3000554, TO3000511, TI3001241, TI3001088, TO3000429, TI3001166, TO3000581, TO3000420, TO3000388, TI3001229, TI3001300, TO3000664, TI3001302, TO3000544, TO3000415, TO3000537, TI3001271, TI3001074, TI3001195, TI3001350, TI3001191, TO3000574, TO3000498, TI3001218, TI3001212, TI3001179, TO3000527, TO3000604, TI3001341, TI3001222, TO3000405, TI3001260, TI3001262, TI3000295, TI3001180, TO3000684, TI3001205, TO3000561, TO3000523, TI3001248, TI3001054, TI3001099, TI3001330, TO3000635, TI3001057, TI3001097]
3.A.1.201.21 - Evalue: 6.57247E-69	[TI3000154, TI3001366]
3.A.1.106.9 - Evalue: 2.82263E-39	[TI3001028]
3.A.1.201.20 - Evalue: 1.53684E-57	[TI3001661, TI3000111, TI3000110, TI3000115, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.106.8 - Evalue: 1.24138E-45	[TI3000148, TI3000147, TI3000145]
3.A.1.208.11 - Evalue: 1.90716E-26	[TO3000780, TI3000115, TO3000783, TO3000784, TO3001047, TI3000114, TI3000015, TI3000113, TO3000781, TO3001046, TO3000782, TI3000112, TO3000787, TO3000785, TI3000117, TO3000786, TI3000116, TO3000758, TI3000111, TI3000298, TI3000110, TI3000297, TI3000296, TI3000295]
3.A.1.210.1 - Evalue: 2.04653E-40	[TI3000040]
3.A.1.201.14 - Evalue: 7.50033E-80	[TI3000147, TI3001000, TI3001001, TI3001002, TI3000258, TI3000144, TI3000262, TI3001018, TI3001019, TI3001015, TI3001016, TI3001021, TI3001022, TI3001023, TI3000177, TI3001020, TI3001007, TI3001008, TI3001009, TI3001003, TI3001004, TI3001005, TI3001006, TI3001011, TI3001013, TO3001602, TI3001037, TO3001601, TI3001039, TI3001043, TO3001716, TO3001715, TI3001044, TO3001714, TI3001045, TI3001046, TO3001713, TI3001040, TO3001719, TO3001718, TI3001041, TO3001717, TI3001042, TI3000299, TI3001025, TO3001712, TO3001711, TI3001026, TO3001710, TI3001028, TO3001705, TO3001703, TI3001034, TI3001035, TO3001702, TO3001709, TO3001708, TO3001707, TI3001030, TI3001031, TO3001701, TI3001047, TI3001048, TI3001049, TI3001050, TI3001051, TI3000904, TI3000903, TI3000902, TI3000908, TI3000907, TI3000906, TI3000905, TI3000909, TI3000926, TI3000925, TI3000804, TI3000924, TI3000803, TI3000923, TI3000809, TI3000808, TI3000807, TI3000928, TI3000927, TI3000806, TI3000922, TI3000801, TI3000800, TI3000921, TI3000920, TI3000914, TI3000913, TI3000912, TI3000919, TI3000918, TI3000917, TI3000911, TI3000910, TO3001480, TI3000827, TI3000826, TI3000947, TI3000946, TI3000825, TI3000945, TI3000824, TO3001484, TO3001483, TI3000829, TO3001482, TI3000828, TI3000949, TI3000940, TO3001487, TO3001486, TO3001485, TI3000944, TI3000822, TI3000943, TO3001369, TI3000821, TI3000942, TI3000820, TO3001368, TI3000941, TI3000816, TO3001590, TI3000936, TI3000814, TI3000935, TI3000934, TI3000813, TO3001594, TO3001472, TO3001593, TO3001471, TI3000818, TI3000939, TO3001591, TI3000938, TI3000817, TO3001470, TO3001598, TO3001476, TO3001597, TO3001596, TO3001475, TO3001595, TO3001474, TI3000812, TI3000933, TI3000932, TI3000931, TO3001479, TI3000930, TO3001478, TO3001599, TI3000728, TI3000969, TI3000848, TI3000968, TI3000726, TI3000847, TI3000967, TI3000846, TI3000725, TO3001583, TO3001462, TO3001582, TO3001460, TO3001581, TO3001580, TI3000729, TI3000962, TO3001587, TO3001466, TI3000720, TI3000961, TI3000840, TO3001586, TO3001465, TI3000960, TO3001585, TO3001584, TO3001463, TI3000724, TI3000845, TI3000965, TI3000723, TI3000844, TO3001468, TI3000964, TO3001589, TI3000843, TI3000963, TO3001467, TO3001588, TI3000721, TI3000838, TI3000717, TI3000837, TI3000958, TI3000836, TI3000957, TI3000715, TI3000835, TI3000956, TI3000714, TO3001451, TO3001572, TO3001693, TO3001692, TO3001571, TO3001570, TO3001691, TI3000719, TI3000839, TI3000718, TO3001576, TI3000951, TO3001697, TO3001455, TO3001454, TO3001575, TI3000950, TO3001695, TO3001574, TO3001573, TO3001452, TI3000713, TI3000955, TI3000834, TO3001459, TI3000712, TI3000833, TI3000954, TI3000832, TO3001457, TI3000953, TI3000711, TO3001577, TI3000952, TO3001698, TI3000710, TO3001456, TO3001449, TO3001161, TI3000749, TI3000748, TI3000869, TI3000989, TI3000863, TO3001048, TI3000984, TI3000862, TI3000741, TI3000983, TI3000861, TI3000982, TI3000740, TI3000860, TI3000746, TI3000988, TI3000987, TI3000866, TI3000745, TI3000986, TI3000865, TI3000985, TI3000870, TI3000991, TI3000990, TI3000739, TO3001392, TI3000859, TI3000738, TI3000858, TI3000857, TO3001396, TO3001393, TI3000731, TI3000973, TI3000852, TI3000851, TI3000730, TO3001399, TI3000971, TO3001156, TI3000850, TO3001398, TI3000970, TO3001397, TI3000856, TI3000977, TI3000735, TI3000734, TI3000855, TI3000976, TI3000975, TI3000853, TI3000974, TI3000980, TO3001381, TI3000769, TO3001384, TO3001383, TO3001382, TO3001389, TI3000764, TI3000885, TI3000884, TO3001388, TI3000883, TO3001387, TO3001386, TI3000882, TI3000761, TI3000768, TI3000888, TI3000766, TI3000887, TI3000765, TI3000886, TI3000771, TI3000891, TI3000770, TI3000890, TO3001491, TO3001370, TO3001490, TI3000759, TI3000758, TI3000879, TO3001495, TO3001494, TO3001373, TO3001372, TO3001493, TO3001371, TO3001492, TI3000995, TO3001378, TI3000874, TI3000873, TO3001498, TO3001377, TI3000994, TI3000752, TI3000993, TO3001376, TI3000872, TO3001497, TI3000751, TO3001496, TO3001375, TI3000871, TI3000750, TI3000878, TI3000757, TI3000999, TI3000877, TI3000756, TI3000998, TI3000997, TI3000755, TI3000875, TO3001379, TI3000996, TI3000754, TI3000881, TI3000880, TO3001521, TI3000785, TO3001520, TO3001641, TI3000300, TO3001640, TI3000784, TI3000783, TO3001646, TO3001525, TO3001404, TO3001403, TO3001524, TI3000788, TO3001644, TO3001522, TO3001639, TO3001518, TO3001517, TO3001638, TO3001516, TO3001637, TO3001515, TO3001636, TI3000793, TI3000792, TO3001519, TI3000790, TO3000780, TI3000775, TO3001510, TO3001631, TO3000783, TI3000896, TI3000774, TO3000784, TO3001630, TO3000781, TI3000894, TI3000773, TI3000772, TO3000782, TI3000779, TO3001514, TO3000787, TI3000778, TO3001634, TI3000898, TO3000785, TO3001512, TI3000777, TO3001633, TI3000776, TO3000786, TO3001632, TO3001511, TO3001628, TO3001507, TO3001506, TO3001627, TO3001626, TO3001505, TO3001504, TO3001625, TI3000782, TI3000781, TO3001509, TI3000780, TO3001620, TO3001624, TO3001503, TI3000206, TO3001502, TO3001623, TO3001501, TO3001621, TO3001617, TO3001616, TO3001615, TO3001614, TI3000693, TO3001619, TO3001618, TI3000797, TI3000796, TI3000795, TO3001613, TO3001612, TI3000798, TO3001610, TO3001606, TO3001605, TO3001604, TO3001603, TO3001609, TO3001608, TO3001607, TO3001440, TO3001682, TO3001681, TO3001560, TO3001680, TO3001686, TO3001565, TO3001444, TO3001685, TO3001564, TO3001443, TO3001442, TO3001684, TO3001441, TO3001569, TO3001568, TO3001689, TO3001447, TO3001567, TO3001688, TI3000348, TO3001566, TO3001687, TO3001439, TO3001438, TI3000111, TI3000110, TO3001671, TO3001550, TO3001670, TO3001433, TO3001553, TO3001432, TO3001674, TO3001673, TO3001431, TO3001552, TO3001672, TO3001430, TO3001558, TO3001437, TO3001436, TO3001678, TO3001435, TO3001556, TO3001676, TO3001434, TO3001429, TO3001549, TO3001428, TO3001669, TO3001548, TO3001427, TO3001664, TO3001543, TO3001542, TO3001663, TO3001541, TO3001420, TO3001662, TO3001540, TO3001661, TO3001668, TO3001547, TO3001667, TO3001425, TO3001546, TO3001666, TO3001424, TO3001545, TO3001665, TO3001423, TI3000248, TO3001544, TO3001418, TO3001539, TO3001538, TO3001417, TO3001659, TO3001416, TO3001658, TO3001537, TO3001532, TO3001653, TI3000115, TI3000236, TO3001531, TO3001652, TI3000114, TO3001410, TO3001651, TI3000113, TO3001530, TO3001650, TI3000112, TO3001657, TO3001415, TO3001535, TO3001414, TI3000118, TO3001413, TO3001534, TO3001655, TI3000117, TO3001412, TO3001654, TO3001533, TI3000116, TO3001529, TO3001408, TO3001649, TO3001407, TO3001528, TO3001648, TO3001406, TO3001647, TO3001409]
3.A.1.212.1 - Evalue: 1.05375E-62	[TI3000208, TI3000224, TI3000168, TI3000267, TI3000223, TI3000201, TI3000244, TI3000189, TI3000207, TI3000206, TI3000249, TI3000227, TI3000204, TI3000248, TI3000171, TI3000199, TI3000177, TI3000176, TI3000197, TI3000175, TI3000251, TI3000191, TI3000190, TI3000159, TI3000236, TI3000258, TI3000257, TI3000233, TI3000239, TI3000238, TI3000216, TI3000259, TI3000215, TI3000237, TI3000184, TI3000261, TI3000162, TI3000182, TI3000181, TI3000243, TI3000265, TI3000242, TI3000164, TI3000241, TI3000185, TI3000163, TI3000240, TI3000262]
3.A.1.201.13 - Evalue: 1.88661E-71	[TI3000111, TI3000110, TI3000115, TI3000147, TI3000114, TI3000113, TI3000112, TI3000117, TI3000116]
3.A.1.212.2 - Evalue: 2.88393E-67	[TI3000224, TI3000267, TI3000223, TI3000189, TI3000227, TI3000199, TI3000111, TI3000110, TI3000197, TI3000191, TI3000190, TI3000258, TI3000257, TI3000216, TI3000259, TI3000215, TI3000261, TI3000184, TI3000182, TI3000181, TI3000265, TI3000185, TI3000262, TI3000208, TI3000201, TI3000168, TI3000244, TI3000207, TI3000206, TI3000249, TI3000204, TI3000248, TI3000171, TI3000177, TI3000176, TI3000175, TI3000251, TI3000159, TI3000236, TI3000115, TI3000114, TI3000113, TI3000233, TI3000112, TI3000239, TI3000238, TI3000117, TI3000116, TI3000237, TI3000162, TI3000243, TI3000242, TI3000164, TI3000241, TI3000163, TI3000240]
