reference	rast_only	refseq_only	transyt_only	rast_and_refseq	rast_and_transyt	refseq_and_transyt	all_combined	lineage
GCF_000355675.1	0	83	18	231	5	4	73	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, Thalassolituus, Thalassolituus oleivorans MIL-1
GCF_000316605.1	0	60	12	193	3	5	74	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Leptolyngbyaceae, Leptolyngbya, Leptolyngbya sp. PCC 7376
GCF_000147815.2	0	131	20	516	14	21	186	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Streptomycetales, Streptomycetaceae, Streptomyces, Streptomyces violaceusniger Tu 4113
GCF_001465835.2	0	45	22	209	7	13	184	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Planococcaceae, Planococcus kocurii
GCF_001005905.1	0	42	8	218	9	6	128	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Salinicoccus halodurans
GCF_000246855.1	0	266	17	392	3	13	126	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Niastella, Niastella koreensis GR20-10
GCF_000146505.1	0	49	6	127	2	4	35	Bacteria, FCB group, Fibrobacteres, Fibrobacteria, Fibrobacterales, Fibrobacteraceae, Fibrobacter, Fibrobacter succinogenes, Fibrobacter succinogenes subsp. succinogenes S85
GCF_000184345.1	0	30	8	186	6	4	49	Bacteria, Spirochaetes, Spirochaetia, Spirochaetales, Spirochaetaceae, Spirochaeta, Spirochaeta thermophila DSM 6578
GCF_000024325.1	0	55	18	188	5	1	61	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfohalobiaceae, Desulfohalobium, Desulfohalobium retbaense DSM 5692
GCF_000227665.2	0	26	5	137	4	3	50	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Piscirickettsiaceae, Thiomicrospira, Thiomicrospira aerophila AL3
GCF_001267155.1	0	25	1	61	4	0	16	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Entomoplasmatales, Spiroplasmataceae, Spiroplasma litorale
GCF_000305785.2	0	118	20	244	9	12	92	Bacteria, Proteobacteria, Gammaproteobacteria, Cellvibrionales, Cellvibrionaceae, Simiduia, Simiduia agarivorans SA1 = DSM 21679
GCF_000330885.1	0	96	15	660	12	16	258	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Rhizobium, Rhizobium tropici CIAT 899
GCF_000016565.1	0	121	27	344	13	17	232	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas aeruginosa group, Pseudomonas mendocina ymp
GCF_000008985.1	0	0	7	0	65	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella, Francisella tularensis, Francisella tularensis subsp. tularensis SCHU S4
GCF_000199675.1	0	39	4	229	9	5	44	Bacteria, Terrabacteria group, Chloroflexi, Anaerolineae, Anaerolineales, Anaerolineaceae, Anaerolinea, Anaerolinea thermophila UNI-1
GCF_000312705.1	0	40	11	165	9	5	78	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Nostocales, Nostocaceae, Anabaena, Anabaena sp. 90
GCF_000012425.1	0	104	23	333	9	14	94	Bacteria, Proteobacteria, Betaproteobacteria, Rhodocyclales, Azonexaceae, Dechloromonas, Dechloromonas aromatica RCB
GCF_000024165.1	0	69	16	332	13	8	122	Bacteria, Proteobacteria, Betaproteobacteria, Betaproteobacteria incertae sedis, Candidatus Accumulibacter, Candidatus Accumulibacter phosphatis clade IIA str. UW-1
GCF_000785515.1	0	23	6	135	6	6	88	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus salivarius
GCF_000828835.1	0	89	12	132	6	7	53	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Thiotrichaceae, Thioploca ingrica
GCF_001583415.1	0	103	20	293	7	8	120	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium phlei
GCF_000019685.1	0	13	5	49	4	2	23	Bacteria, Spirochaetes, Spirochaetia, Spirochaetales, Borreliaceae, Borrelia, Borrelia duttonii Ly
GCF_000186985.1	0	3	0	26	1	1	2	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma, Mycoplasma haemofelis Ohio2
GCF_000178975.2	0	154	6	191	3	3	63	Bacteria, Acidobacteria, Acidobacteriia, Acidobacteriales, Acidobacteriaceae, Granulicella, Granulicella tundricola MP5ACTX9
GCF_000695835.1	0	8	1	42	0	1	4	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma californicum
GCF_000092125.1	0	57	8	283	4	7	82	Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Thermales, Thermaceae, Meiothermus, Meiothermus silvanus DSM 9946
GCF_000177235.2	0	67	18	257	10	5	123	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Bacillaceae, Bacillus, Bacillus cellulosilyticus DSM 2522
GCF_001709315.1	0	82	49	256	13	32	374	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Erwiniaceae, Pantoea, Pantoea agglomerans
GCF_001594265.1	0	35	28	142	11	12	142	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Aggregatibacter actinomycetemcomitans
GCF_000145295.1	0	17	3	55	1	1	16	Archaea, Euryarchaeota, Methanomada group, Methanobacteria, Methanobacteriales, Methanobacteriaceae, Methanothermobacter, Methanothermobacter marburgensis str. Marburg
GCF_000186345.1	0	83	6	144	1	1	38	Bacteria, PVC group, Planctomycetes, Planctomycetia, Isosphaerales, Isosphaeraceae, Isosphaera, Isosphaera pallida ATCC 43644
GCF_000230715.2	0	65	8	213	1	6	33	Archaea, Euryarchaeota, Stenosarchaea group, Halobacteria, Natrialbales, Natrialbaceae, Natronobacterium, Natronobacterium gregoryi SP2
GCF_000512355.1	0	73	6	111	9	7	53	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Legionellaceae, Legionella, Legionella oakridgensis ATCC 33761 = DSM 21215
GCF_000215105.1	0	32	8	224	9	7	80	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Promicromonosporaceae, Isoptericola, Isoptericola variabilis 225
GCF_000176915.2	0	80	17	259	7	2	53	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Pseudodesulfovibrio, Pseudodesulfovibrio aespoeensis Aspo-2
GCF_000021685.1	0	42	11	187	4	3	41	Bacteria, Terrabacteria group, Chloroflexi, Thermomicrobia, Thermomicrobiales, Thermomicrobiaceae, Thermomicrobium, Thermomicrobium roseum DSM 5159
GCF_001483865.1	0	123	19	317	13	13	138	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiales genera incertae sedis, Roseateles depolymerans
GCF_000250655.1	0	112	12	570	11	20	195	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus mucilaginosus 3016
GCF_000006175.1	0	30	2	63	2	1	28	Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanococcaceae, Methanococcus, Methanococcus voltae A3
GCF_000484535.1	0	84	9	185	8	8	83	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Gloeobacteria, Gloeobacterales, Gloeobacteraceae, Gloeobacter, Gloeobacter kilaueensis JS1
GCF_000940995.1	0	126	41	372	24	24	283	Bacteria, Proteobacteria, Gammaproteobacteria, Vibrionales, Vibrionaceae, Photobacterium, Photobacterium gaetbulicola Gung47
GCF_001593245.1	0	107	36	321	20	27	235	Bacteria, Proteobacteria, Gammaproteobacteria, Aeromonadales, Aeromonadaceae, Aeromonas veronii
GCF_000758725.1	0	103	12	512	13	19	199	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus odorifer
GCF_000024125.1	0	82	14	150	3	6	55	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Robiginitalea, Robiginitalea biformata HTCC2501
GCF_001269425.1	0	3	5	15	1	3	16	Bacteria, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria incertae sedis, Candidatus Baumannia cicadellinicola
GCF_000331735.1	0	176	35	332	8	7	105	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Myxococcales, Cystobacterineae, Myxococcaceae, Myxococcus, Myxococcus stipitatus DSM 14675
GCF_001553955.1	0	28	16	128	5	7	69	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Moraxellaceae, Moraxella osloensis
GCF_000193395.1	0	56	4	132	1	7	41	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella denticola F0289
GCF_000008565.1	0	0	15	0	62	0	0	Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Deinococcales, Deinococcaceae, Deinococcus, Deinococcus radiodurans R1
GCF_000196815.1	0	100	15	183	5	5	57	Bacteria, Nitrospirae, Nitrospira, Nitrospirales, Nitrospiraceae, Nitrospira defluvii
GCF_002240355.1	0	106	31	456	10	12	146	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Pseudonocardiales, Pseudonocardiaceae, Prauserella marina
GCF_001042715.1	0	96	5	314	10	7	100	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium aceticum
GCF_000010665.1	0	98	14	236	9	5	76	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Desulfovibrionales, Desulfovibrionaceae, Desulfovibrio, Desulfovibrio magneticus RS-1
GCF_000024005.1	0	227	15	403	4	7	116	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Chitinophagia, Chitinophagales, Chitinophagaceae, Chitinophaga, Chitinophaga pinensis DSM 2588
GCF_000009125.1	0	128	26	388	14	12	200	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiaceae, Ralstonia, Ralstonia solanacearum GMI1000
GCF_000306885.1	0	13	2	38	2	3	20	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Anaplasmataceae, Wolbachieae, Wolbachia endosymbiont of Onchocerca ochengi
GCF_001611135.1	0	30	3	137	9	3	93	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Pediococcus damnosus
GCF_000007765.1	0	12	6	83	5	2	53	Bacteria, Proteobacteria, Gammaproteobacteria, Legionellales, Coxiellaceae, Coxiella, Coxiella burnetii RSA 493
GCF_000195775.1	0	126	35	453	11	23	159	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Bradyrhizobiaceae, Rhodopseudomonas, Rhodopseudomonas palustris CGA009
GCF_000730245.1	0	45	5	47	4	5	32	Bacteria, Proteobacteria, Alphaproteobacteria, Holosporales, Holosporaceae, endosymbiont of Acanthamoeba sp. UWC8
GCF_000019785.1	0	108	23	392	8	8	124	Bacteria, Proteobacteria, Betaproteobacteria, Burkholderiales, Burkholderiales genera incertae sedis, Leptothrix, Leptothrix cholodnii SP-6
GCF_000184435.1	0	98	20	253	6	11	115	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium gilvum Spyr1
GCF_000007125.1	0	49	14	277	5	13	136	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Brucellaceae, Brucella, Brucella melitensis, Brucella melitensis bv. 1 str. 16M
GCF_000266945.1	0	96	40	381	6	7	87	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfomonile, Desulfomonile tiedjei DSM 6799
GCF_000284615.1	0	97	30	299	10	14	122	Bacteria, Proteobacteria, Gammaproteobacteria, Alteromonadales, Alteromonadaceae, Marinobacter, Marinobacter hydrocarbonoclasticus ATCC 49840
GCF_000025085.1	0	31	7	206	2	8	126	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Staphylococcaceae, Staphylococcus, Staphylococcus lugdunensis HKU09-01
GCF_000284015.1	0	82	20	306	2	7	67	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Geodermatophilales, Geodermatophilaceae, Blastococcus, Blastococcus saxobsidens DD2
GCF_001185205.1	0	88	19	516	5	13	177	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Hyphomicrobiaceae, Devosia, Devosia sp. H5989
GCF_000018885.1	0	31	5	191	5	2	52	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Renibacterium, Renibacterium salmoninarum ATCC 33209
GCF_000014265.1	0	50	11	143	4	5	76	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Oscillatoriophycideae, Oscillatoriales, Microcoleaceae, Trichodesmium, Trichodesmium erythraeum IMS101
GCF_001314945.1	0	24	6	72	3	2	66	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus kunkeei
GCF_000225345.1	0	54	4	215	4	7	67	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Lachnospiraceae, Roseburia, Roseburia hominis A2-183
GCF_001307545.1	0	107	23	294	4	6	137	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium fortuitum
GCF_000023605.1	0	107	49	369	13	25	364	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Pectobacteriaceae, Pectobacterium, Pectobacterium carotovorum, Pectobacterium carotovorum subsp. carotovorum PC1
GCF_000191045.1	0	40	5	75	1	4	22	Bacteria, Aquificae, Aquificae, Desulfurobacteriales, Desulfurobacteriaceae, Desulfurobacterium, Desulfurobacterium thermolithotrophum DSM 11699
GCF_000092425.1	0	44	8	273	5	2	84	Bacteria, Terrabacteria group, Deinococcus-Thermus, Deinococci, Deinococcales, Trueperaceae, Truepera, Truepera radiovictrix DSM 17093
GCF_001011155.1	0	114	24	499	9	12	160	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Phyllobacteriaceae, Hoeflea, Hoeflea sp. IMCC20628
GCF_000164695.2	0	46	6	131	3	6	57	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Micrococcales, Micrococcaceae, Rothia, Rothia dentocariosa ATCC 17931
GCF_000020545.1	0	36	9	140	3	0	41	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Chlorobi, Chlorobia, Chlorobiales, Chlorobiaceae, Chlorobium/Pelodictyon group, Chlorobium, Chlorobium phaeobacteroides BS1
GCF_000471025.2	0	31	6	61	3	4	27	Bacteria, PVC group, Chlamydiae, Chlamydiia, Chlamydiales, Chlamydiaceae, Chlamydia/Chlamydophila group, Chlamydia, Chlamydia gallinacea 08-1274/3
GCF_000818035.1	0	50	16	109	5	3	64	Bacteria, Proteobacteria, Betaproteobacteria, Neisseriales, Neisseriaceae, Neisseria, Neisseria elongata, Neisseria elongata subsp. glycolytica ATCC 29315
GCF_000016285.1	0	111	17	605	17	16	217	Bacteria, Proteobacteria, Alphaproteobacteria, Rhizobiales, Rhizobiaceae, Rhizobium/Agrobacterium group, Agrobacterium, Agrobacterium vitis S4
GCF_000017045.1	0	0	14	0	108	0	0	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Clostridiaceae, Clostridium, Clostridium botulinum, Clostridium botulinum A str. Hall
GCF_000025485.1	0	51	16	210	9	8	86	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Allochromatium, Allochromatium vinosum DSM 180
GCF_000014205.1	0	0	18	0	102	0	0	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus sanguinis SK36
GCF_000969885.1	0	24	14	111	2	1	39	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanosarcina, Methanosarcina thermophila TM-1
GCF_000800295.1	0	30	2	121	0	1	56	Bacteria, Terrabacteria group, Firmicutes, Tissierellia, Tissierellales, Peptoniphilaceae, Parvimonas micra
GCF_000828655.1	0	34	2	263	4	1	71	Bacteria, Thermotogae, Thermotogae, Thermotogales, Thermotogaceae, Thermotoga, Thermotoga caldifontis AZM44c09
GCF_000590555.1	0	23	6	123	3	6	46	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Corynebacteriaceae, Corynebacterium, Corynebacterium argentoratense DSM 44202
GCF_000736415.1	0	42	15	119	4	6	63	Bacteria, Proteobacteria, delta/epsilon subdivisions, Epsilonproteobacteria, Campylobacterales, Campylobacteraceae, Campylobacter iguaniorum
GCF_000023325.1	0	33	1	207	3	1	40	Bacteria, Thermotogae, Thermotogae, Kosmotogales, Kosmotogaceae, Kosmotoga, Kosmotoga olearia TBF 19.5.1
GCF_000270145.1	0	26	5	197	7	7	97	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Streptococcaceae, Streptococcus, Streptococcus gallolyticus, Streptococcus gallolyticus subsp. gallolyticus ATCC 43143
GCF_000204415.1	0	53	5	130	10	2	25	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanotrichaceae, Methanothrix, Methanothrix soehngenii GP6
GCF_000196315.1	0	71	6	123	2	7	47	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Croceibacter, Croceibacter atlanticus HTCC2559
GCF_001653755.1	0	92	17	135	0	4	44	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Dokdonia, Dokdonia donghaensis DSW-1
GCF_000014445.1	0	19	4	150	7	7	107	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Leuconostocaceae, Leuconostoc, Leuconostoc mesenteroides, Leuconostoc mesenteroides subsp. mesenteroides ATCC 8293
GCF_001676785.2	0	38	3	178	4	3	71	Bacteria, Spirochaetes, Spirochaetia, Brachyspirales, Brachyspiraceae, Brachyspira, Brachyspira hyodysenteriae ATCC 27164
GCF_000246985.2	0	43	4	133	3	4	44	Archaea, Euryarchaeota, Thermococci, Thermococcales, Thermococcaceae, Thermococcus, Thermococcus litoralis DSM 5473
GCF_000175255.2	0	37	6	121	3	8	39	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Zymomonas, Zymomonas mobilis, Zymomonas mobilis subsp. mobilis ATCC 10988
GCF_000166415.1	0	51	5	192	3	3	60	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Halanaerobiales, Halanaerobiaceae, Halanaerobium hydrogeniformans
GCF_000017505.1	0	89	28	243	4	8	71	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Myxococcales, Cystobacterineae, Anaeromyxobacteraceae, Anaeromyxobacter, Anaeromyxobacter sp. Fw109-5
GCF_000764555.1	0	47	8	105	4	4	74	Bacteria, Proteobacteria, Gammaproteobacteria, Thiotrichales, Francisellaceae, Francisella, Francisella sp. FSC1006
GCF_000025005.1	0	31	5	245	6	8	60	Bacteria, Terrabacteria group, unclassified Terrabacteria group, Thermobaculum, Thermobaculum terrenum ATCC BAA-798
GCF_000376645.1	0	52	21	159	11	14	161	Bacteria, Proteobacteria, Gammaproteobacteria, Pasteurellales, Pasteurellaceae, Mannheimia, Mannheimia haemolytica M42548
GCF_000195295.1	0	54	13	175	4	5	55	Bacteria, Proteobacteria, delta/epsilon subdivisions, Deltaproteobacteria, Syntrophobacterales, Syntrophaceae, Desulfobacca, Desulfobacca acetoxidans DSM 11109
GCF_000007145.1	0	0	28	0	141	0	0	Bacteria, Proteobacteria, Gammaproteobacteria, Xanthomonadales, Xanthomonadaceae, Xanthomonas, Xanthomonas campestris, Xanthomonas campestris pv. campestris str. ATCC 33913
GCF_000298115.2	0	28	7	166	8	6	109	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Lactobacillus, Lactobacillus buchneri, Lactobacillus buchneri subsp. silagei CD034
GCF_000092785.1	0	28	8	97	3	5	54	Bacteria, PVC group, Chlamydiae, Chlamydiia, Parachlamydiales, Waddliaceae, Waddlia, Waddlia chondrophila WSU 86-1044
GCF_000511405.1	0	56	11	159	6	12	120	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Bacillales, Paenibacillaceae, Paenibacillus, Paenibacillus larvae, Paenibacillus larvae subsp. larvae DSM 25430
GCF_002222635.1	0	131	23	524	5	8	126	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodobacterales, Rhodobacteraceae, Sulfitobacter pseudonitzschiae
GCF_000227685.2	0	44	22	220	8	10	66	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Ectothiorhodospiraceae, Thioalkalivibrio, Thioalkalivibrio paradoxus ARh 1
GCF_000022385.1	0	43	8	130	0	9	33	Archaea, TACK group, Crenarchaeota, Thermoprotei, Sulfolobales, Sulfolobaceae, Sulfolobus, Sulfolobus islandicus L.S.2.15
GCF_001007935.1	0	42	18	163	9	14	54	Bacteria, Proteobacteria, Betaproteobacteria, Nitrosomonadales, Nitrosomonadaceae, Nitrosomonas communis
GCF_001767275.1	0	26	6	153	7	5	88	Bacteria, Terrabacteria group, Firmicutes, Bacilli, Lactobacillales, Lactobacillaceae, Pediococcus, Pediococcus acidilactici
GCF_000016765.1	0	114	36	336	5	12	150	Bacteria, Proteobacteria, Alphaproteobacteria, Sphingomonadales, Sphingomonadaceae, Sphingomonas, Sphingomonas wittichii RW1
GCF_000953435.1	0	1	1	7	0	0	2	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Zymobacter group, Candidatus Evansia muelleri
GCF_000800805.1	0	26	4	31	2	2	9	Archaea, Euryarchaeota, Diaforarchaea group, Thermoplasmata, Methanomassiliicoccales, Methanomassiliicoccaceae, Candidatus Methanoplasma termitum
GCF_000263195.1	0	58	15	217	10	9	84	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Cytophagia, Cytophagales, Cytophagaceae, Emticicia, Emticicia oligotrophica DSM 17448
GCF_000300005.1	0	110	48	418	3	23	108	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Alcanivoracaceae, Alcanivorax, Alcanivorax dieselolei B5
GCF_000013945.1	0	36	21	109	4	8	43	Bacteria, Spirochaetes, Spirochaetia, Leptospirales, Leptospiraceae, Leptospira, Leptospira borgpetersenii, Leptospira borgpetersenii serovar Hardjo-bovis str. L550
GCF_000017545.1	0	32	2	151	1	1	41	Bacteria, Thermotogae, Thermotogae, Thermotogales, Fervidobacteriaceae, Fervidobacterium, Fervidobacterium nodosum Rt17-B1
GCF_000512735.1	0	38	6	89	2	2	23	Bacteria, Aquificae, Aquificae, Aquificales, Aquificaceae, Thermocrinis ruber
GCF_000015005.1	0	0	32	0	214	0	0	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Corynebacteriales, Mycobacteriaceae, Mycolicibacterium, Mycolicibacterium smegmatis MC2 155
GCF_000306725.1	0	35	4	133	2	2	31	Archaea, Euryarchaeota, Stenosarchaea group, Methanomicrobia, Methanosarcinales, Methanosarcinaceae, Methanolobus, Methanolobus psychrophilus R15
GCF_000177615.2	0	59	10	216	4	8	37	Bacteria, Terrabacteria group, Actinobacteria, Actinobacteria, Frankiales, Frankiaceae, Frankia, Candidatus Frankia datiscae
GCF_001941945.1	0	110	15	460	10	17	199	Bacteria, Proteobacteria, Alphaproteobacteria, Rhodospirillales, Acetobacteraceae, Roseomonas gilardii
GCF_000092585.1	0	11	2	51	1	0	7	Bacteria, Terrabacteria group, Tenericutes, Mollicutes, Mycoplasmatales, Mycoplasmataceae, Mycoplasma, Mycoplasma gallisepticum, Mycoplasma gallisepticum str. R(low)
GCF_000982825.1	0	102	63	165	13	31	388	Bacteria, Proteobacteria, Gammaproteobacteria, Enterobacterales, Enterobacteriaceae, Cronobacter sakazakii
GCF_000143085.1	0	53	13	163	7	6	79	Bacteria, Proteobacteria, Gammaproteobacteria, Chromatiales, Chromatiaceae, Nitrosococcus, Nitrosococcus watsonii C-113
GCF_000012145.1	0	23	6	71	5	2	29	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group, Rickettsia felis URRWXCal2
GCF_000214215.1	0	94	13	361	10	15	157	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Oceanospirillaceae, Marinomonas, Marinomonas posidonica IVIA-Po-181
GCF_000590475.1	0	93	22	363	7	17	197	Bacteria, Proteobacteria, Gammaproteobacteria, Pseudomonadales, Pseudomonadaceae, Pseudomonas, Pseudomonas stutzeri group, Pseudomonas stutzeri
GCF_000194605.1	0	76	11	161	2	1	43	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Crocinitomicaceae, Fluviicola, Fluviicola taffensis DSM 16823
GCF_000055785.1	0	58	19	317	9	13	180	Bacteria, Proteobacteria, Gammaproteobacteria, Oceanospirillales, Halomonadaceae, Chromohalobacter, Chromohalobacter salexigens DSM 3043
GCF_000010405.1	0	16	7	52	3	0	21	Bacteria, Proteobacteria, Gammaproteobacteria, Gammaproteobacteria incertae sedis, sulfur-oxidizing symbionts, Candidatus Vesicomyosocius okutanii
GCF_000237085.1	0	65	7	166	2	6	47	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Clostridiales, Hungateiclostridiaceae, Hungateiclostridium, Hungateiclostridium clariflavum DSM 19732
GCF_000195975.1	0	22	7	118	6	1	43	Bacteria, Terrabacteria group, Cyanobacteria/Melainabacteria group, Cyanobacteria, Synechococcales, Synechococcaceae, Synechococcus, Synechococcus sp. WH 8102
GCF_000144645.1	0	34	5	132	8	1	77	Bacteria, Terrabacteria group, Firmicutes, Clostridia, Thermoanaerobacterales, Thermoanaerobacterales Family III. Incertae Sedis, Thermosediminibacter, Thermosediminibacter oceani DSM 16646
GCF_000242335.1	0	74	8	132	0	5	57	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Bacteroidia, Bacteroidales, Prevotellaceae, Prevotella, Prevotella dentalis DSM 3688
GCF_000283595.1	0	22	6	62	5	3	28	Bacteria, Proteobacteria, Alphaproteobacteria, Rickettsiales, Rickettsiaceae, Rickettsieae, Rickettsia, spotted fever group, Rickettsia japonica YH
GCF_000023985.1	0	18	1	49	1	5	21	Archaea, Euryarchaeota, Methanomada group, Methanococci, Methanococcales, Methanocaldococcaceae, Methanocaldococcus, Methanocaldococcus fervens AG86
GCF_000468615.2	0	107	14	206	3	8	70	Bacteria, FCB group, Bacteroidetes/Chlorobi group, Bacteroidetes, Flavobacteriia, Flavobacteriales, Flavobacteriaceae, Cellulophaga, Cellulophaga baltica 18
